tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,alt-project-id,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-date,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-body-part,attachment-comments,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-method,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,deployment-image,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,scheduled-detachment-date,study-site,tag-beacon-frequency,tag-calibration,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-mass-total,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-retrieval-date,tag-serial-no,tag-settings
Quinton,Quinton,Felis catus,2001-04-26 21:30:00.000,2001-07-25 17:05:00.000,,,,,,,,,6,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Quinton,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Orion,Orion,Felis catus,2001-05-02 15:28:00.000,2001-08-14 15:24:00.000,,,,,,,,,1,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Orion,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Fred,Fred,Felis catus,2001-05-08 19:23:00.000,2001-08-07 13:13:00.000,,,,,,,,,15,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Fred,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Billy,Billy,Felis catus,2001-05-10 01:00:00.000,2001-08-09 02:02:00.000,,,,,,,,,4,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Billy,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Mookie,Mookie,Felis catus,2001-05-29 15:15:00.000,2001-08-09 02:02:00.000,,,,,,,,,4,,,,,,,,,,,spayed,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Mookie,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Tiger,Tiger,Felis catus,2001-05-30 13:45:00.000,2001-08-14 13:30:00.000,,,,feral,,,,,adult,,,,,,,,,,,fertile,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Tiger,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Willie,Willie,Felis catus,2001-06-06 14:34:00.000,2001-08-14 16:20:00.000,,,,,,,,,4,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Willie,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Junior,Junior,Felis catus,2001-06-20 13:36:00.000,2001-08-08 13:10:00.000,,,,,,,,,8,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Junior,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Charlie,Charlie,Felis catus,2001-06-22 15:55:00.000,2001-08-03 13:30:00.000,,,,,,,,,4,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Charlie,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Rusty,Rusty,Felis catus,2001-06-27 02:39:00.000,2001-08-09 02:25:00.000,,,,,,,,,7,,,,,,,,,,,neutered,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Rusty,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Dog,Dog,Felis catus,2001-06-27 05:40:00.000,2001-08-14 17:00:00.000,,,,,,,,,adult,,,,,,,,,,,fertile,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Dog,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
Smokey,Smokey,Felis catus,2001-06-27 05:42:00.000,2001-08-14 16:50:00.000,,,,,,,,,adult,,,,,,,,,,,fertile,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,,Smokey,,,,,,,,,,,,none,,,Albany Pine Bush Preserve,,,,,,Advanced Telemetry Systems,,,,,,,,,
