group,barnes_id,sex,dob,age_at_test_mo,strain,data_file,notes
1,10861,M,10/28/2022,6.4,F344xLE,05.08.23_TOR_NARP.males.xlsx,
2,10862,M,10/28/2022,6.4,F344xLE,05.08.23_TOR_NARP.males.xlsx,
1,10867,M,11/22/2022,5.6,F344xLE,05.08.23_TOR_NARP.males.xlsx,
2,10868,M,11/22/2022,5.6,F344xLE,05.08.23_TOR_NARP.males.xlsx,
2,10871,M,12/14/2022,4.8,F344xLE,05.08.23_TOR_NARP.males.xlsx,
1,10873,M,12/16/2022,4.8,F344xLE,05.08.23_TOR_NARP.males.xlsx,
1,10876,F,10/23/2022,6.8,F344xLE,05.15.23_TOR_NARP.females.xlsx,
1,10877,F,10/23/2022,6.8,F344xLE,05.15.23_TOR_NARP.females.xlsx,
2,10883,F,11/17/2022,6,F344xLE,05.15.23_TOR_NARP.females.xlsx,
1,10884,F,11/17/2022,6,F344xLE,05.15.23_TOR_NARP.females.xlsx,
1,10892,F,12/16/2022,5,F344xLE,05.15.23_TOR_NARP.females.xlsx,
1,10894,M,8/15/2022,9.3,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
2,10895,M,8/15/2022,9.3,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
1,10896,M,8/15/2022,9.3,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
2,10897,M,8/15/2022,9.3,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
1,10898,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
2,10899,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
1,10900,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
2,10901,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
1,10902,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
2,10903,M,6/14/2021,23.6,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,
1,10909,M,8/7/2022,12.5,F344xLE,08.14.23_TOR_NARP.males.xlsx,
2,10910,M,8/18/2022,12.1,F344xLE,08.14.23_TOR_NARP.males.xlsx,"Objects put on incorrect side during test, accounted for in analysis"
1,10918,F,8/4/2022,12.8,F344xLE,08.21.23_TOR_NARP.females.xlsx,
2,10919,F,8/4/2022,12.8,F344xLE,08.21.23_TOR_NARP.females.xlsx,
1,10920,F,8/6/2022,12.7,F344xLE,08.21.23_TOR_NARP.females.xlsx,
2,10928,F,9/28/2022,11,F344xLE,08.21.23_TOR_NARP.females.xlsx,
1,10929,F,9/29/2022,10.9,F344xLE,08.21.23_TOR_NARP.females.xlsx,
2,10934,F,10/28/2022,10,F344xLE,08.21.23_TOR_NARP.females.xlsx,
1,10935,F,10/29/2022,9.9,F344xLE,08.21.23_TOR_NARP.females.xlsx,
1,10939,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
2,10940,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
1,10941,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
2,10942,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
1,10943,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
2,10944,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
1,10945,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
2,10946,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
1,10947,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
2,10948,M,11/1/2021,22.2,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,
1,10949,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10950,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
1,10951,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10952,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
1,10953,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10954,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
1,10955,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10956,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
1,10957,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10958,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
1,10959,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
2,10960,F,12/1/2021,22.2,F344,09.27.23_TOR_AgedFemaleF344.xlsx,
