barnes_id,sample_1_east_obj_4_s,sample_1_west_obj_4_s
10861,50.7,63.39
10862,43.76,33.16
10867,30.75,37.13
10868,57.58,71.55
10871,23.32,47.05
10873,58.35,52.93
10876,77.95,58.81
10877,35.44,61.01
10883,42.16,56.6
10884,80.99,48.63
10892,52.73,36.2
10894,28.85,33.03
10895,21.37,23.37
10896,48.82,22.52
10897,24.16,22.65
10898,3.21,10.19
10899,10.62,19.84
10900,5.85,9.88
10901,20.98,16.75
10902,59.02,38.82
10903,19.1,19.02
10909,32.8,29.3
10910,10.34,13.17
10918,17.23,21.11
10919,49.36,44.12
10920,37.73,33.7
10928,25.11,43.95
10929,50.15,35.84
10934,21.38,32.62
10935,38.63,32.46
10939,9.01,2.94
10940,12.74,5.44
10941,21.39,14.04
10942,6.91,5.04
10943,27.55,15.96
10944,36.5,41.2
10945,39.79,17.7
10946,31.61,22.84
10947,21.5,18.74
10948,18.58,26.74
10949,12.5,8.28
10950,7.49,6.98
10951,27.16,11
10952,32.75,26.11
10953,19.57,6.12
10954,4.53,12.41
10955,21.87,21.41
10956,22,24.48
10957,13.7,18.06
10958,14.43,21.64
10959,39.42,35.22
10960,26.32,36.8
